id,name,width,height,depth,weight,depends_on
1,Dining Table Top,180,10,90,40,2
2,Table Legs Set,80,15,15,12,
3,Wardrobe Body,100,200,60,90,4
4,Wardrobe Doors,200,10,60,25,
5,Sofa 3-Seater,220,90,100,70,
6,Queen Mattress,200,30,160,35,7
7,Bed Frame,210,40,160,60,8
8,Headboard,160,10,120,20,
9,Bookshelf,80,180,30,45,
10,Office Chair,60,110,60,18,
11,Drawer Unit,50,70,50,30,
12,Nightstand,45,55,40,15,
13,Coffee Table,110,45,60,22,
14,TV Stand,150,50,45,28,
15,Dresser,120,90,50,55,
16,Bar Stool,40,75,40,9,
17,Dining Chair,45,95,50,11,
18,Armchair,90,100,95,40,
19,Sideboard,160,80,45,60,
20,Shoe Cabinet,80,100,30,25,
21,Desk,140,75,70,38,
22,Desk Drawers,40,55,50,16,21
23,Filing Cabinet,45,130,60,42,
24,King Mattress,200,30,180,42,
25,Crib,130,90,70,30,
26,Changing Table,90,95,55,24,
27,Bean Bag,80,70,80,6,
28,Floor Lamp,30,150,30,8,
29,Mirror Cabinet,70,90,15,18,
30,Console Table,100,80,35,20,
31,Bench,140,45,40,24,
32,Birch Display Cabinet,91,193,44,116,
33,Metal Office Chair,57,113,68,26,14
34,Metal Footstool,48,38,49,5,
35,Mahogany Dining Table,174,74,88,170,
36,Birch Nightstand,42,57,36,11,
37,Grey Wine Rack,65,72,32,15,
38,Walnut Sideboard,175,84,50,118,
39,White Filing Cabinet,43,102,65,51,
40,Black Standing Desk,175,76,72,153,
41,Mahogany Filing Cabinet,47,122,58,60,
42,Walnut Vanity Table,109,74,48,46,
43,Rattan Single Mattress,194,28,93,56,
44,Black Console Table,92,80,42,34,35
45,White Chest of Drawers,101,102,50,82,
46,Black Armchair,98,97,97,65,
47,Rattan Queen Mattress,200,28,152,94,
48,Birch Console Table,99,85,35,32,
49,Walnut Wine Rack,52,94,34,17,
50,Oak Mirror Cabinet,63,97,18,13,
51,Birch Nightstand,49,58,37,14,45
52,Leather Wall Shelf,108,25,28,9,
